event_type,template,arg1,arg2,arg3,arg4,arg5
transaction.transfermoney.purchase,<arg1> gave money to recipient for the benefit of beneficiary at place,evt138arg01giver,,,,
transaction.transfermoney.purchase,Giver gave money to <arg2> for the benefit of beneficiary at place,,evt138arg02recipient,,,
transaction.transfermoney.purchase,Giver gave money to recipient for the benefit of <arg3> at place,,,evt138arg03beneficiary,,
transaction.transfermoney.purchase,Giver gave <arg4> money to recipient for the benefit of beneficiary at place,,,,evt138arg04money,
transaction.transfermoney.purchase,Giver gave money to recipient for the benefit of beneficiary at <arg5> place,,,,,evt138arg05place
transaction.transferownership.unspecified,<arg1> gave artifact to recipient for the benefit of beneficiary at place,evt139arg01giver,,,,
transaction.transferownership.unspecified,Giver gave artifact to <arg2> for the benefit of beneficiary at place,,evt139arg02recipient,,,
transaction.transferownership.unspecified,Giver gave artifact to recipient for the benefit of <arg3> at place,,,evt139arg03beneficiary,,
transaction.transferownership.unspecified,Giver gave <arg4> to recipient for the benefit of beneficiary at place,,,,evt139arg04artifact,
transaction.transferownership.unspecified,Giver gave artifact to recipient for the benefit of beneficiary at <arg5> place,,,,,evt139arg05place
transaction.transferownership.borrowlend,<arg1> gave artifact to recipient for the benefit of beneficiary at place,evt140arg01giver,,,,
transaction.transferownership.borrowlend,Giver gave artifact to <arg2> for the benefit of beneficiary at place,,evt140arg02recipient,,,
transaction.transferownership.borrowlend,Giver gave artifact to recipient for the benefit of <arg3> at place,,,evt140arg03beneficiary,,
transaction.transferownership.borrowlend,Giver gave <arg4> to recipient for the benefit of beneficiary at place,,,,evt140arg04artifact,
transaction.transferownership.borrowlend,Giver gave artifact to recipient for the benefit of beneficiary at <arg5> place,,,,,evt140arg05place
transaction.transferownership.embargosanction,<arg1> prevented giver from giving artifact money to recipient at place,evt141arg01preventer,,,,
transaction.transferownership.embargosanction,Preventer prevented <arg2> from giving artifact money to recipient at place,,evt141arg02giver,,,
transaction.transferownership.embargosanction,Preventer prevented giver from giving artifact money to <arg3> at place,,,evt141arg03recipient,,
transaction.transferownership.embargosanction,Preventer prevented giver from giving <arg4> to recipient at place,,,,evt141arg04artifact,
transaction.transferownership.embargosanction,Preventer prevented giver from giving artifact money to recipient at <arg5> place,,,,,evt141arg05place
transaction.transferownership.giftgrantprovideaid,<arg1> gave artifact to recipient for the benefit of beneficiary at place,evt142arg01giver,,,,
transaction.transferownership.giftgrantprovideaid,Giver gave artifact to <arg2> for the benefit of beneficiary at place,,evt142arg02recipient,,,
transaction.transferownership.giftgrantprovideaid,Giver gave artifact to recipient for the benefit of <arg3> at place,,,evt142arg03beneficiary,,
transaction.transferownership.giftgrantprovideaid,Giver gave <arg4> to recipient for the benefit of beneficiary at place,,,,evt142arg04artifact,
transaction.transferownership.giftgrantprovideaid,Giver gave artifact to recipient for the benefit of beneficiary at <arg5> place,,,,,evt142arg05place
transaction.transferownership.purchase,<arg1> gave artifact to recipient for the benefit of beneficiary at place,evt143arg01giver,,,,
transaction.transferownership.purchase,Giver gave artifact to <arg2> for the benefit of beneficiary at place,,evt143arg02recipient,,,
transaction.transferownership.purchase,Giver gave artifact to recipient for the benefit of <arg3> at place,,,evt143arg03beneficiary,,
transaction.transferownership.purchase,Giver gave <arg4> to recipient for the benefit of beneficiary at place,,,,evt143arg04artifact,
transaction.transferownership.purchase,Giver gave artifact to recipient for the benefit of beneficiary at <arg5> place,,,,,evt143arg05place
transaction.transaction.transfercontrol,<arg1> transferred control of something to recipient for the benefit of beneficiary in place,evt144arg01giver,,,,
transaction.transaction.transfercontrol,Giver transferred control of something to <arg2> for the benefit of beneficiary in place,,evt144arg02recipient,,,
transaction.transaction.transfercontrol,Giver transferred control of something to recipient for the benefit of <arg3> in place,,,evt144arg03beneficiary,,
transaction.transaction.transfercontrol,Giver transferred control of <arg4> to recipient for the benefit of beneficiary in place,,,,evt144arg04territoryorfacility,
transaction.transaction.transfercontrol,Giver transferred control of something to recipient for the benefit of beneficiary in <arg5> place,,,,,evt144arg05place
